player,choice0
261,0.62
253,0.62
75,0.62
427,0.62
137,0.62
398,0.62
225,0.63
353,0.63
423,0.63
512,0.63
273,0.63
506,0.63
387,0.63
290,0.63
490,0.62
209,0.62
310,0.41
458,0.41
26,0.41
401,0.41
44,0.41
153,0.41
282,0.41
329,0.41
65,0.41
306,0.41
371,0.41
456,0.41
302,0.41
236,0.41
517,0.41
142,0.41
149,0.41
29,0.41
392,0.41
412,0.4
246,0.4
455,0.4
473,0.4
388,0.4
513,0.4
37,0.4
496,0.4
449,0.4
214,0.41
92,0.41
364,0.41
146,0.41
288,0.41
235,0.41
113,0.41
383,0.41
457,0.41
226,0.41
251,0.41
248,0.41
24,0.41
402,0.41
115,0.41
466,0.41
38,0.41
104,0.41
461,0.41
175,0.41
406,0.41
220,0.38
397,0.38
168,0.38
268,0.38
141,0.38
425,0.38
39,0.38
291,0.38
494,0.38
224,0.38
49,0.38
378,0.38
126,0.38
34,0.38
252,0.38
487,0.38
172,0.38
448,0.38
76,0.38
389,0.38
100,0.38
154,0.38
223,0.38
491,0.38
98,0.38
88,0.38
299,0.38
498,0.38
523,0.38
422,0.38
195,0.38
31,0.38
199,0.38
435,0.38
355,0.38
477,0.38
123,0.38
274,0.38
10,0.38
194,0.38
344,0.38
32,0.38
514,0.38
178,0.38
345,0.38
19,0.38
510,0.38
71,0.38
286,0.38
15,0.38
505,0.38
263,0.38
372,0.38
519,0.38
4,0.38
442,0.38
215,0.38
411,0.38
9,0.38
185,0.38
203,0.38
305,0.38
205,0.38
86,0.38
334,0.38
73,0.38
325,0.38
85,0.37
7,0.37
318,0.37
460,0.37
181,0.37
135,0.37
242,0.37
243,0.37
247,0.37
321,0.37
195,0.37
258,0.37
348,0.37
232,0.37
303,0.37
426,0.37
36,0.37
152,0.37
60,0.37
81,0.37
90,0.37
56,0.37
265,0.37
527,0.37
145,0.37
366,0.37
244,0.37
489,0.37
307,0.37
116,0.37
50,0.38
504,0.38
87,0.38
413,0.38
377,0.38
21,0.38
201,0.38
257,0.38
501,0.38
421,0.38
22,0.38
217,0.38
405,0.38
358,0.38
300,0.38
151,0.38
222,0.38
144,0.38
410,0.38
516,0.38
182,0.38
62,0.38
260,0.38
18,0.38
416,0.38
264,0.38
518,0.38
394,0.38
53,0.38
275,0.38
304,0.38
495,0.38
331,0.38
439,0.38
475,0.38
148,0.38
462,0.38
511,0.38
492,0.38
342,0.38
407,0.38
432,0.38
467,0.38
45,0.38
322,0.38
338,0.38
359,0.38
211,0.38
296,0.38
386,0.38
314,0.38
293,0.38
471,0.38
434,0.38
298,0.38
400,0.38
365,0.38
351,0.38
173,0.38
470,0.38
68,0.38
216,0.38
384,0.38
326,0.38
380,0.38
163,0.38
418,0.38
200,0.38
176,0.38
11,0.38
125,0.38
316,0.38
234,0.38
198,0.38
404,0.38
447,0.38
122,0.38
231,0.38
420,0.38
352,0.38
192,0.38
254,0.38
77,0.38
161,0.38
140,0.38
157,0.38
385,0.38
317,0.38
